Parcel,Crop,Area (ha),NDVI,NDRE,Vigor Z,Heterog.,Runoff,Conf.,Risk Score,Risk Level
LPIS-61603977086_294A,Ley / Grass,25.700000762939453,0.553,0.363,,29,15,0.48,10.2,Low
LPIS-61594033913_5A,Maize,25.639999389648438,0.778,0.616,,5.3,15,0.65,23.5,Low
LPIS-61503934938_22A,Spring Barley,25.6200008392334,0.697,0.55,,11.9,15,0.64,10.1,Low
LPIS-61543930895_79A,Winter Wheat,25.420000076293945,0.755,0.582,,9.1,15,0.57,9.5,Low
LPIS-61453995929_2C,Winter Wheat,25.3700008392334,0.845,0.655,,14.9,15,0.47,23.8,Low
LPIS-61524009241_1C,Rapeseed,25.239999771118164,0.575,0.396,,17.5,15,0.72,9.4,Low
LPIS-61664014364_8A,Ley / Grass,25.209999084472656,0.789,0.521,,13.4,70,0.47,43.2,Moderate
LPIS-61553976663_16C,Sugar Beet,25.1299991607666,0.789,0.588,,11.5,15,0.65,10.5,Low
LPIS-61534005787_4C,Sugar Beet,25.1200008392334,0.778,0.625,,13.2,15,0.81,10.4,Low
LPIS-61504009112_12A,Rapeseed,24.989999771118164,0.657,0.49,,43.8,15,0.49,12.7,Low
LPIS-61573977405_202A,Rapeseed,24.969999313354492,0.703,0.496,,13.5,15,0.73,9.2,Low
LPIS-61523922072_20A,Winter Wheat,24.959999084472656,0.8,0.637,,14.2,15,0.49,14,Low
LPIS-61563986893_204A,Sugar Beet,24.93000030517578,0.782,0.615,,11.2,15,0.72,10,Low
LPIS-61554043276_33A,Rapeseed,24.84000015258789,0.537,0.369,,31.9,40,0.66,19.8,Low
LPIS-61573955934_4E,Winter Wheat,24.780000686645508,0.682,0.499,,30.3,15,0.64,11.2,Low
LPIS-61544012676_5A,Sugar Beet,24.75,0.818,0.637,,12.4,15,0.51,19.5,Low
LPIS-61483941485_31A,Fallow,24.75,0.63,0.505,,15.3,15,0.58,10.6,Low
LPIS-61664018928_4A,Ley / Grass,24.68000030517578,0.78,0.51,,12.8,70,0.66,41.4,Moderate
LPIS-61564056338_9A,Winter Wheat,24.600000381469727,0.784,0.64,,10.8,40,0.41,19.4,Low
LPIS-61533946132_86A,Winter Wheat,24.59000015258789,0.589,0.404,,31.4,15,0.55,10.8,Low
LPIS-61584031277_4A,Winter Wheat,24.059999465942383,0.795,0.624,,12.7,40,0.66,21.5,Low
LPIS-61473975215_63A,Winter Wheat,23.959999084472656,0.755,0.522,,12.6,15,0.64,9,Low
LPIS-61463966421_85A,Winter Wheat,23.889999389648438,0.774,0.587,,12.9,15,0.43,9.8,Low
LPIS-61503986665_58A,Spring Wheat,23.850000381469727,0.836,0.567,,5.1,40,0.63,35.5,Moderate
LPIS-61523922072_20C,Sugar Beet,23.799999237060547,0.819,0.566,,13.3,15,0.59,18.7,Low
LPIS-61593983365_4A,Rapeseed,23.510000228881836,0.614,0.418,,18.9,15,0.63,9.5,Low
LPIS-61554006153_7A,Spring Barley,23.440000534057617,0.794,0.633,,11.8,15,0.49,13.7,Low
LPIS-61753988906_133A,Ley / Grass,23.25,0.638,0.387,,22.6,40,0.54,17.9,Low
LPIS-61573984407_201A,Potato,23.139999389648438,0.827,0.548,,7.1,15,0.7,25.7,Low
LPIS-61604049466_28A,Maize,23.06999969482422,0.834,0.597,,23.7,15,0.46,28.1,Low
LPIS-61603968705_15A,Winter Wheat,22.8799991607666,0.649,0.462,,26.7,15,0.63,10.6,Low
LPIS-61694039555_81A,Ley / Grass,22.850000381469727,0.627,0.393,,32.5,40,0.74,19.2,Low
LPIS-61533971312_3A,Winter Wheat,22.81999969482422,0.889,0.707,,12.4,15,0.7,33.8,Moderate
LPIS-61494011471_17B,Sugar Beet,22.770000457763672,0.804,0.56,,12.9,15,0.46,14.5,Low
LPIS-61583996276_39C,Winter Wheat,22.770000457763672,0.643,0.471,,26,15,0.56,10.8,Low
LPIS-61504015133_2A,Spring Barley,22.690000534057617,0.781,0.621,,12.6,15,0.48,11.2,Low
LPIS-61584058105_6B,Spring Barley,22.520000457763672,0.794,0.551,,10.6,15,0.53,12.3,Low
LPIS-61763972907_132A,Ley / Grass,22.489999771118164,0.716,0.459,,17.5,40,0.47,18.9,Low
LPIS-61463996364_38B,Rapeseed,22.079999923706055,0.583,0.411,,28.3,15,0.35,10.7,Low
LPIS-61544041625_160A,Winter Wheat,22.059999465942383,0.86,0.706,,10,15,0.48,27.4,Low
LPIS-61584026698_43A,Sugar Beet,22.030000686645508,0.821,0.644,,9,15,0.67,20.1,Low
LPIS-61513957282_62H,Spring Barley,21.979999542236328,0.865,0.716,,18.5,15,0.3,28.7,Low
LPIS-61483968003_4A,Rapeseed,21.93000030517578,0.766,0.588,,9.4,15,0.69,10.9,Low
LPIS-61584017778_30A,Rapeseed,21.920000076293945,0.835,0.67,,17.5,15,0.58,25,Low
LPIS-61463950277_2A,Sugar Beet,21.889999389648438,0.764,0.512,,11.9,15,0.38,8.6,Low
LPIS-61504028661_1A,Sugar Beet,21.850000381469727,0.658,0.448,,17.8,15,0.47,9.3,Low
LPIS-61513925762_13D,Sugar Beet,21.84000015258789,0.752,0.518,,11.1,15,0.68,8.8,Low
LPIS-61534046135_67A,Sugar Beet,21.780000686645508,0.796,0.555,,10.5,15,0.61,11.9,Low
LPIS-61564027840_29A,Rapeseed,21.68000030517578,0.791,0.623,,10.9,40,0.55,25,Low
LPIS-61503930254_36A,Rapeseed,21.649999618530273,0.47,0.323,,22.9,15,0.43,10,Low
LPIS-61783986460_2A,Ley / Grass,21.5,0.573,0.334,,29.3,40,0.69,18.3,Low
LPIS-61484005349_55A,Sugar Beet,21.479999542236328,0.803,0.53,,15.3,15,0.5,13.8,Low
LPIS-61544002654_37A,Winter Barley,21.479999542236328,0.745,0.611,,16.8,40,0.69,19.9,Low
LPIS-61584060443_122A,Winter Wheat,21.440000534057617,0.836,0.688,,12,40,0.79,31,Moderate
LPIS-61773966461_3A,Ley / Grass,21.200000762939453,0.632,0.392,,14,40,0.51,17.2,Low
LPIS-61544062645_12A,Winter Wheat,21.18000030517578,0.673,0.453,,12.3,15,0.55,8.7,Low
LPIS-61463950277_2B,Spring Barley,21.100000381469727,0.795,0.638,,11.7,15,0.29,14,Low
LPIS-61573984407_201G,Spring Barley,21.100000381469727,0.793,0.532,,11.3,15,0.48,11.9,Low
LPIS-61604035247_10B,Spring Barley,21.079999923706055,0.768,0.597,,13.1,15,0.27,10,Low
