Parcel,Crop,Area (ha),NDVI,NDRE,Vigor Z,Heterog.,Runoff,Conf.,Risk Score,Risk Level
LPIS-61524013308_6A,Spring Wheat,5.889999866485596,0.759,0.587,,7.8,15,0.57,9.5,Low
LPIS-61453973347_24A,Rapeseed,5.889999866485596,0.851,0.663,,8.3,15,0.44,26.8,Low
LPIS-61613962249_1A,Spring Barley,5.880000114440918,0.767,0.58,,9.9,15,0.72,9.5,Low
LPIS-61603984212_58A,Maize,5.869999885559082,0.67,0.429,,20.6,40,0.6,25.1,Low
LPIS-61664023989_1A,Ley / Grass,5.849999904632568,0.708,0.457,,15.3,40,0.43,17.7,Low
LPIS-61574074271_43A,Rapeseed,5.840000152587891,0.818,0.635,,7.7,15,0.75,20.6,Low
LPIS-61624026373_1A,Ley / Grass,5.840000152587891,0.774,0.524,,8.6,40,0.48,29.3,Low
LPIS-61554031073_45A,Rapeseed,5.829999923706055,0.779,0.63,,7.1,15,0.59,13.7,Low
LPIS-61613984048_4A,Ley / Grass,5.809999942779541,0.739,0.447,,7.8,15,0.64,12.9,Low
LPIS-61624000285_3A,Ley / Grass,5.800000190734863,0.749,0.501,,11,40,0.37,24.7,Low
LPIS-61624033878_18A,Maize,5.800000190734863,0.406,0.27,,64.2,15,0.56,13.8,Low
LPIS-61594047283_1A,Winter Wheat,5.789999961853027,0.787,0.612,,9,40,0.54,19.3,Low
LPIS-61683936115_1A,Winter Wheat,5.789999961853027,0.703,0.487,,5.8,70,0.6,28.1,Low
LPIS-61513900394_77C,Spring Barley,5.789999961853027,0.767,0.617,,26.2,15,0.47,11.7,Low
LPIS-61483965709_6A,Fallow,5.78000020980835,0.729,0.538,,9.3,40,0.39,19.3,Low
LPIS-61654042049_2A,Ley / Grass,5.78000020980835,0.597,0.36,,23.9,40,0.53,18,Low
LPIS-61534053928_101A,Winter Wheat,5.769999980926514,0.796,0.634,,16.4,15,0.49,13.3,Low
LPIS-61553980341_8C,Spring Barley,5.769999980926514,0.788,0.644,,7.9,15,0.67,12.3,Low
LPIS-61773953208_1A,Ley / Grass,5.760000228881836,0.713,0.466,,16.2,40,0.67,18.3,Low
LPIS-61594042030_12A,Winter Wheat,5.75,0.756,0.583,,15.9,15,0.71,10.2,Low
LPIS-61544024607_15A,Rapeseed,5.75,0.672,0.473,,16.9,15,0.51,9.5,Low
LPIS-61504006982_3A,Fallow,5.739999771118164,0.789,0.531,,20.7,15,0.59,21.7,Low
LPIS-61613985001_73A,Ley / Grass,5.739999771118164,0.822,0.637,,20.2,40,0.44,40.6,Moderate
LPIS-61503950574_22A,Winter Wheat,5.739999771118164,0.739,0.515,,4.3,15,0.56,8.2,Low
LPIS-61523917038_7A,Fallow,5.739999771118164,0.83,0.659,,14.8,15,0.59,30,Moderate
LPIS-61544076004_8A,Rapeseed,5.730000019073486,0.719,0.541,,10.4,15,0.61,9.5,Low
LPIS-61463950277_2D,Sugar Beet,5.71999979019165,0.718,0.477,,3.1,5,0.4,4.1,Low
LPIS-61564022016_114A,Spring Barley,5.710000038146973,0.853,0.695,,6.7,40,0.47,34.1,Moderate
LPIS-61663991155_78A,Ley / Grass,5.710000038146973,0.579,0.358,,22.4,40,0.59,18.1,Low
LPIS-61514033045_14A,Spring Barley,5.710000038146973,0.838,0.659,,9.2,15,0.92,22.1,Low
LPIS-61823963944_58A,Unknown,5.710000038146973,0.631,0.384,,17,40,0.78,17.4,Low
LPIS-61783954701_9A,Ley / Grass,5.690000057220459,0.637,0.386,,23.2,40,0.59,18,Low
LPIS-61603969495_45A,Ley / Grass,5.690000057220459,0.633,0.417,,15.7,40,0.59,17.9,Low
LPIS-61724001681_5A,Ley / Grass,5.690000057220459,0.73,0.475,,11,40,0.89,21,Low
LPIS-61663968740_21B,Rye,5.679999828338623,0.735,0.564,,12.3,40,0.41,19.5,Low
LPIS-61603990126_2A,Winter Wheat,5.679999828338623,0.836,0.594,,7,15,0.3,20.2,Low
LPIS-61733986211_205A,Unknown,5.670000076293945,0.592,0.366,,15.2,40,0.81,17.3,Low
LPIS-61564011871_16B,Winter Wheat,5.670000076293945,0.836,0.687,,9.3,15,0.59,21.9,Low
LPIS-61524056545_7A,Winter Wheat,5.670000076293945,0.782,0.531,,16.5,40,0.56,18.2,Low
LPIS-61783983400_168A,Ley / Grass,5.650000095367432,0.592,0.381,,27.3,40,0.62,18.8,Low
LPIS-61564064122_22A,Ley / Grass,5.650000095367432,0.687,0.462,,9.3,15,0.58,8.4,Low
LPIS-61503915148_1A,Winter Wheat,5.639999866485596,0.768,0.605,,12.1,15,0.64,10.1,Low
LPIS-61713995889_17B,Spring Barley,5.639999866485596,0.794,0.602,,5.5,40,0.48,21.5,Low
LPIS-61593975850_25A,Rapeseed,5.630000114440918,0.741,0.573,,20.7,15,0.49,10.7,Low
LPIS-61573947656_2A,Unknown,5.630000114440918,0.78,0.64,,5.7,15,0.44,29.7,Low
LPIS-61714001079_82A,Fallow,5.630000114440918,0.692,0.493,,21.1,40,0.77,19.1,Low
LPIS-61694015073_16A,Spring Barley,5.619999885559082,0.859,0.609,,3.3,40,0.78,33.7,Moderate
LPIS-61513949853_8B,Spring Barley,5.619999885559082,0.759,0.577,,11.3,15,0.63,9.7,Low
LPIS-61503952967_1A,Spring Barley,5.619999885559082,0.806,0.567,,9.1,15,0.7,14.7,Low
LPIS-61693926383_34A,Ley / Grass,5.610000133514404,0.709,0.473,,12.7,40,0.67,17.7,Low
LPIS-61683968935_7A,Maize,5.610000133514404,0.309,0.206,,72.2,40,0.55,23.6,Low
LPIS-61634038220_17A,Ley / Grass,5.599999904632568,0.733,0.453,,10.3,40,0.61,21.1,Low
LPIS-61544043996_63A,Winter Wheat,5.599999904632568,0.796,0.634,,14.8,15,0.62,13.1,Low
LPIS-61563991212_3A,Winter Wheat,5.590000152587891,0.82,0.64,,8.5,15,0.68,17.8,Low
LPIS-61534066732_12B,Winter Wheat,5.579999923706055,0.762,0.528,,7.7,40,0.54,17.5,Low
LPIS-61733995709_9A,Unknown,5.579999923706055,0.755,0.505,,11.3,40,0.52,32.2,Moderate
LPIS-61684005401_118A,Ley / Grass,5.579999923706055,0.816,0.558,,6,40,0.81,36.8,Moderate
LPIS-61614043642_12B,Ley / Grass,5.579999923706055,0.382,0.253,,67.3,15,0.43,14.1,Low
LPIS-61743944237_58A,Ley / Grass,5.570000171661377,0.823,0.588,,11.7,40,0.5,39.1,Moderate
LPIS-61604058794_174A,Spring Barley,5.570000171661377,0.835,0.649,,7.9,40,0.72,30.2,Moderate
LPIS-61684009183_126A,Spring Barley,5.559999942779541,0.787,0.544,,19,40,0.59,20.6,Low
LPIS-61604026137_6A,Ley / Grass,5.550000190734863,0.783,0.537,,6.5,15,0.64,21.9,Low
LPIS-61503941608_26A,Spring Barley,5.550000190734863,0.682,0.54,,17.2,15,0.64,10.6,Low
LPIS-61733982477_22A,Fallow,5.53000020980835,0.713,0.54,,13.2,40,0.63,18.8,Low
LPIS-61573998283_179A,Winter Wheat,5.53000020980835,0.797,0.528,,16.7,15,0.52,12,Low
LPIS-61473951391_2A,Rapeseed,5.53000020980835,0.654,0.505,,11.4,15,0.56,9.8,Low
LPIS-61723987153_11A,Spring Barley,5.519999980926514,0.68,0.506,,15,40,0.91,18.8,Low
LPIS-61514022052_3A,Winter Barley,5.519999980926514,0.723,0.572,,11,15,0.49,10,Low
LPIS-61523950964_20C,Winter Wheat,5.510000228881836,0.856,0.659,,5.6,15,0.62,25.3,Low
LPIS-61753973572_4A,Ley / Grass,5.510000228881836,0.803,0.553,,16.5,40,0.39,35.6,Moderate
LPIS-61533982763_15A,Winter Wheat,5.510000228881836,0.873,0.694,,11.3,15,0.85,30.1,Moderate
LPIS-61574063207_45A,Winter Wheat,5.5,0.712,0.576,,24.4,15,0.71,11.6,Low
LPIS-61584035375_161A,Rapeseed,5.5,0.742,0.571,,13.2,15,0.55,10,Low
LPIS-61533977128_6A,Rapeseed,5.5,0.864,0.704,,8.7,15,0.74,29.7,Low
LPIS-61634021375_63B,Ley / Grass,5.5,0.768,0.542,,14.6,40,0.68,29.1,Low
LPIS-61703988272_29A,Rapeseed,5.489999771118164,0.741,0.576,,13.8,15,0.67,10.1,Low
LPIS-61594014108_2E,Winter Wheat,5.489999771118164,0.896,0.687,,6.8,15,0.69,41.1,Moderate
LPIS-61763954847_4A,Ley / Grass,5.480000019073486,0.56,0.336,,23.7,40,0.68,18,Low
LPIS-61783970607_186A,Ley / Grass,5.46999979019165,0.58,0.358,,15.9,40,0.58,17.4,Low
LPIS-61743974580_1A,Winter Wheat,5.460000038146973,0.811,0.62,,4.1,40,0.61,24,Low
LPIS-61594035156_7A,Maize,5.449999809265137,0.747,0.583,,18.7,15,0.57,22.6,Low
LPIS-61733942946_45A,Ley / Grass,5.449999809265137,0.629,0.399,,15.8,40,0.75,17.6,Low
LPIS-61613962564_3A,Spring Barley,5.449999809265137,0.394,0.249,,53.6,15,0.56,12.3,Low
LPIS-61684006087_127A,Maize,5.440000057220459,0.365,0.24,,68.2,40,0.67,23.1,Low
LPIS-61614061704_162A,Spring Barley,5.440000057220459,0.771,0.593,,10.5,40,0.76,18.7,Low
LPIS-61503928719_3A,Rapeseed,5.440000057220459,0.711,0.563,,13,15,0.56,10.2,Low
LPIS-61693990586_34A,Spring Barley,5.429999828338623,0.799,0.607,,16.5,15,0.62,14.6,Low
LPIS-61614048004_13A,Maize,5.429999828338623,0.458,0.305,,55.8,15,0.54,13,Low
LPIS-61503947209_36A,Spring Wheat,5.420000076293945,0.749,0.57,,16.4,40,0.56,19.2,Low
LPIS-61693950181_6A,Winter Wheat,5.420000076293945,0.799,0.602,,15.2,15,0.71,13.5,Low
LPIS-61733945144_21C,Spring Barley,5.420000076293945,0.736,0.494,,18.7,40,0.65,18.3,Low
LPIS-61524014277_4B,Winter Wheat,5.409999847412109,0.659,0.453,,16.7,40,0.54,18.3,Low
LPIS-61773938453_104A,Winter Wheat,5.409999847412109,0.716,0.465,,7,40,0.67,16.9,Low
LPIS-61584037942_2A,Ley / Grass,5.409999847412109,0.809,0.574,,9.8,40,0.39,36.3,Moderate
LPIS-61594007031_4B,Rapeseed,5.400000095367432,0.724,0.52,,11.9,15,0.62,9.2,Low
LPIS-61534056667_1B,Spring Barley,5.400000095367432,0.527,0.364,,18.2,15,0.57,9.5,Low
LPIS-61684020095_6A,Unknown,5.400000095367432,0.542,0.349,,19.7,40,0.54,18.1,Low
LPIS-61453998431_29A,Fallow,5.400000095367432,0.628,0.455,,25.8,15,0.31,10.7,Low
LPIS-61513951640_1A,Winter Wheat,5.389999866485596,0.849,0.576,,4.9,15,0.63,22.6,Low
LPIS-61504019313_33A,Ley / Grass,5.389999866485596,0.595,0.389,,17.2,15,0.62,9,Low
LPIS-61644055109_94A,Rapeseed,5.389999866485596,0.683,0.506,,11.9,40,0.61,18.5,Low
LPIS-61554002663_4A,Winter Wheat,5.380000114440918,0.763,0.561,,8.6,40,0.62,18.1,Low
LPIS-61583965780_5A,Winter Wheat,5.369999885559082,0.812,0.647,,9.5,15,0.5,16.2,Low
LPIS-61624007210_16A,Winter Wheat,5.369999885559082,0.671,0.472,,19.9,40,0.56,18.8,Low
LPIS-61564011871_16C,Rapeseed,5.369999885559082,0.636,0.462,,23.5,15,0.82,10.5,Low
LPIS-61674026562_156A,Maize,5.369999885559082,0.387,0.258,,59.6,40,0.45,22.4,Low
LPIS-61533954425_22A,Spring Barley,5.369999885559082,0.847,0.675,,14.2,15,0.61,24.5,Low
LPIS-61713994542_175A,Spring Barley,5.349999904632568,0.725,0.563,,8.7,15,0.56,9.6,Low
LPIS-61683913486_121A,Ley / Grass,5.340000152587891,0.663,0.447,,10.4,70,0.46,28.3,Low
LPIS-61664000635_1A,Unknown,5.329999923706055,0.718,0.462,,16.7,40,0.65,24.6,Low
LPIS-61513918483_1A,Winter Wheat,5.329999923706055,0.824,0.67,,23.2,15,0.58,20.5,Low
LPIS-61703995528_1A,Ley / Grass,5.329999923706055,0.584,0.373,,24.9,40,0.62,18.5,Low
LPIS-61503928984_21A,Winter Wheat,5.320000171661377,0.76,0.587,,7.1,15,0.56,9.4,Low
LPIS-61604061901_88A,Rapeseed,5.320000171661377,0.844,0.67,,6.3,40,0.83,34.4,Moderate
LPIS-61513965770_24A,Winter Wheat,5.309999942779541,0.788,0.543,,14.3,15,0.53,10,Low
LPIS-61513974282_106A,Spring Barley,5.309999942779541,0.797,0.646,,13.5,15,0.75,14.6,Low
LPIS-61524014445_7A,Winter Wheat,5.309999942779541,0.829,0.561,,9.7,40,0.48,27.5,Low
LPIS-61604038748_8A,Winter Barley,5.309999942779541,0.85,0.681,,7.4,15,0.36,26.2,Low
LPIS-61723972185_6A,Winter Wheat,5.300000190734863,0.849,0.671,,16.5,15,0.63,25.2,Low
LPIS-61733980192_104A,Ley / Grass,5.300000190734863,0.523,0.329,,19.7,15,0.58,8.9,Low
LPIS-61483997554_6A,Winter Wheat,5.300000190734863,0.809,0.637,,16,15,0.59,16,Low
LPIS-61513910481_9A,Winter Wheat,5.289999961853027,0.774,0.617,,10.4,15,0.73,10,Low
LPIS-61703924166_1A,Spring Barley,5.28000020980835,0.403,0.249,,44.3,40,0.49,20.2,Low
LPIS-61534010528_102A,Spring Barley,5.28000020980835,0.792,0.611,,17.9,15,0.55,13.5,Low
LPIS-61704039155_72A,Ley / Grass,5.28000020980835,0.558,0.363,,27.2,70,0.53,29.7,Low
LPIS-61713987029_12A,Peas,5.28000020980835,0.739,0.451,,8.6,15,0.71,7.6,Low
LPIS-61594062737_78A,Rapeseed,5.269999980926514,0.838,0.663,,7.7,40,0.6,33.4,Moderate
LPIS-61584041344_35A,Sugar Beet,5.260000228881836,0.781,0.552,,4.9,15,0.73,8.4,Low
LPIS-61544028473_14A,Ley / Grass,5.25,0.785,0.553,,16.4,40,0.58,32.4,Moderate
LPIS-61733954028_23A,Maize,5.25,0.765,0.527,,14.1,40,0.72,31.3,Moderate
LPIS-61753984620_7A,Ley / Grass,5.25,0.436,0.277,,46.7,40,0.47,20.7,Low
LPIS-61633994891_30A,Ley / Grass,5.25,0.656,0.436,,24.8,40,0.44,18.9,Low
LPIS-61593987819_14C,Rapeseed,5.239999771118164,0.867,0.699,,2.3,40,0.66,38.4,Moderate
LPIS-61524051074_49A,Ley / Grass,5.239999771118164,0.727,0.479,,19,40,0.61,21.3,Low
LPIS-61514058265_48A,Ley / Grass,5.21999979019165,0.803,0.556,,15.3,15,0.56,26.5,Low
LPIS-61574028362_51A,Sugar Beet,5.21999979019165,0.781,0.533,,8.7,40,0.6,17.5,Low
LPIS-61693954882_37A,Ley / Grass,5.210000038146973,0.776,0.506,,14,40,0.76,29.8,Low
LPIS-61654040350_5A,Ley / Grass,5.199999809265137,0.568,0.342,,13.4,40,0.39,17,Low
LPIS-61523963185_12A,Winter Wheat,5.199999809265137,0.761,0.568,,23,15,0.96,10.7,Low
LPIS-61654002961_83A,Ley / Grass,5.199999809265137,0.815,0.617,,7.4,40,0.47,37.8,Moderate
LPIS-61563943817_6A,Sugar Beet,5.199999809265137,0.709,0.51,,6.4,15,0.66,8.7,Low
LPIS-61564072403_11B,Ley / Grass,5.190000057220459,0.589,0.411,,13,15,0.56,9.1,Low
LPIS-61614031975_8A,Maize,5.190000057220459,0.881,0.686,,7,40,0.74,39.3,Moderate
LPIS-61594007283_62A,Ley / Grass,5.190000057220459,0.726,0.462,,20.7,40,0.4,21,Low
LPIS-61733993920_24A,Ley / Grass,5.190000057220459,0.67,0.432,,23.2,40,0.62,18.5,Low
LPIS-61823989225_106A,Ley / Grass,5.179999828338623,0.577,0.35,,16.3,40,0.58,17.3,Low
LPIS-61524045234_21A,Winter Wheat,5.179999828338623,0.784,0.533,,7.9,15,0.72,8.3,Low
LPIS-61523955588_4A,Ley / Grass,5.179999828338623,0.757,0.487,,12.6,15,0.64,17,Low
LPIS-61513965351_23B,Sugar Beet,5.170000076293945,0.789,0.544,,14.9,15,0.58,10.3,Low
LPIS-61514045771_2A,Ley / Grass,5.170000076293945,0.77,0.539,,17.2,40,0.34,29.6,Low
LPIS-61634043470_17A,Ley / Grass,5.170000076293945,0.666,0.432,,18.6,40,0.42,18,Low
LPIS-61694013058_28A,Spring Barley,5.159999847412109,0.851,0.606,,3.7,40,0.77,32.2,Moderate
LPIS-61493953516_84A,Winter Wheat,5.159999847412109,0.711,0.542,,9.2,15,0.67,9.5,Low
LPIS-61514028634_8A,Winter Wheat,5.150000095367432,0.783,0.588,,27.9,15,0.46,11.2,Low
LPIS-61604042296_167A,Winter Wheat,5.150000095367432,0.83,0.665,,16.9,40,0.71,30,Moderate
LPIS-61723987885_4B,Rapeseed,5.139999866485596,0.616,0.426,,14.6,15,0.7,9.2,Low
LPIS-61683956610_52A,Ley / Grass,5.139999866485596,0.736,0.487,,14.3,15,0.7,13.5,Low
LPIS-61683971009_17A,Fallow,5.139999866485596,0.675,0.453,,30,40,0.66,19.5,Low
LPIS-61753958378_14A,Ley / Grass,5.139999866485596,0.699,0.435,,8.9,40,0.44,16.8,Low
LPIS-61743977502_84A,Ley / Grass,5.139999866485596,0.84,0.568,,7.1,40,0.47,41.4,Moderate
LPIS-61563943817_6B,Spring Barley,5.130000114440918,0.718,0.578,,17.8,15,0.65,10.8,Low
LPIS-61604019688_8A,Spring Barley,5.130000114440918,0.837,0.651,,25.1,15,0.43,23.3,Low
LPIS-61783965868_21A,Unknown,5.130000114440918,0.565,0.346,,14.7,70,0.33,28,Low
LPIS-61514000820_55C,Winter Wheat,5.130000114440918,0.853,0.65,,13.4,40,0.64,34.3,Moderate
LPIS-61483953021_32A,Winter Barley,5.130000114440918,0.716,0.566,,11.6,15,0.5,10.1,Low
LPIS-61484018190_24A,Winter Wheat,5.119999885559082,0.671,0.474,,24.7,15,0.42,10.3,Low
LPIS-61574070622_1A,Rapeseed,5.119999885559082,0.635,0.457,,16.4,15,0.49,9.7,Low
LPIS-61763955385_58A,Spring Barley,5.119999885559082,0.73,0.543,,11.1,40,0.81,18.4,Low
LPIS-61514037818_1A,Winter Wheat,5.119999885559082,0.78,0.645,,22.5,15,0.35,11.6,Low
LPIS-61743986972_69A,Rapeseed,5.119999885559082,0.862,0.638,,13.8,40,0.55,37.8,Moderate
LPIS-61513949853_8A,Fallow,5.119999885559082,0.76,0.583,,9,15,0.67,16.3,Low
LPIS-61783977394_166A,Ley / Grass,5.110000133514404,0.69,0.444,,20.1,40,0.47,18.1,Low
LPIS-61743942234_73A,Ley / Grass,5.099999904632568,0.842,0.624,,8.6,40,0.57,42.7,Moderate
LPIS-61513995904_1A,Rapeseed,5.090000152587891,0.86,0.671,,12.9,40,0.67,37.8,Moderate
LPIS-61533994993_15A,Ley / Grass,5.090000152587891,0.719,0.474,,8.9,15,0.37,9.8,Low
LPIS-61564009184_64A,Winter Wheat,5.090000152587891,0.745,0.486,,11.8,40,0.59,17.4,Low
LPIS-61733981288_1A,Unknown,5.079999923706055,0.644,0.408,,12.6,40,0.56,17.3,Low
LPIS-61694013490_27A,Fallow,5.070000171661377,0.843,0.593,,5,70,0.75,50,Moderate
LPIS-61683957851_141A,Rapeseed,5.070000171661377,0.752,0.537,,12.5,15,0.59,9.2,Low
LPIS-61523946159_5B,Spring Barley,5.070000171661377,0.86,0.709,,15.7,15,0.66,27.4,Low
LPIS-61753980930_18A,Ley / Grass,5.070000171661377,0.657,0.443,,17.8,40,0.65,18.3,Low
LPIS-61713982752_3A,Unknown,5.059999942779541,0.735,0.491,,11.1,40,0.48,28.1,Low
LPIS-61653956269_4A,Ley / Grass,5.059999942779541,0.766,0.525,,14.7,70,0.61,39.3,Moderate
LPIS-61613999260_40A,Spring Barley,5.059999942779541,0.483,0.333,,71.1,15,0.35,14.8,Low
LPIS-61554028732_101A,Ley / Grass,5.059999942779541,0.801,0.545,,7.2,40,0.59,34.3,Moderate
LPIS-61613987367_8A,Winter Wheat,5.059999942779541,0.802,0.51,,5.7,15,0.63,11.8,Low
LPIS-61493973668_1A,Winter Wheat,5.050000190734863,0.801,0.606,,19.6,40,0.54,23.3,Low
LPIS-61514016418_1A,Ley / Grass,5.050000190734863,0.739,0.527,,13.5,15,0.42,14.7,Low
LPIS-61554010258_9A,Winter Wheat,5.050000190734863,0.809,0.626,,11.5,15,0.87,15.5,Low
LPIS-61714017718_2A,Ley / Grass,5.03000020980835,0.571,0.351,,15.8,15,0.89,8.4,Low
LPIS-61773941444_93A,Ley / Grass,5.03000020980835,0.74,0.49,,16.7,40,0.75,23.5,Low
LPIS-61523969044_141A,Fallow,5.019999980926514,0.871,0.687,,6.5,15,0.69,43.8,Moderate
LPIS-61594066348_80A,Rapeseed,5.019999980926514,0.818,0.659,,20,40,0.58,31.2,Moderate
LPIS-61733962847_225A,Ley / Grass,5.019999980926514,0.698,0.442,,15,40,0.66,17.5,Low
LPIS-61554067216_15A,Rapeseed,5.019999980926514,0.714,0.553,,9.2,40,0.43,18.6,Low
LPIS-61594014108_2F,Winter Wheat,5.019999980926514,0.892,0.683,,6.1,15,0.62,40.2,Moderate
LPIS-61483975569_2A,Spring Barley,5.010000228881836,0.824,0.683,,14.4,15,0.66,20.2,Low
LPIS-61773979084_4A,Ley / Grass,5.010000228881836,0.589,0.36,,20.8,40,0.82,17.8,Low
LPIS-61763976525_3A,Ley / Grass,5.010000228881836,0.619,0.387,,17.4,70,0.58,28.4,Low
LPIS-61684018606_1A,Spring Barley,5,0.667,0.482,,39.7,40,0.62,21.1,Low
LPIS-61783965129_190A,Ley / Grass,5,0.601,0.36,,12.2,40,0.64,16.8,Low
LPIS-61543938256_17B,Fallow,5,0.77,0.579,,7.3,15,0.56,17.8,Low
LPIS-61683983154_17A,Fallow,5,0.712,0.476,,21,40,0.8,18.5,Low
LPIS-61734000755_18A,Unknown,4.989999771118164,0.737,0.495,,13.7,40,0.56,28.6,Low
LPIS-61583993486_182A,Winter Wheat,4.989999771118164,0.77,0.614,,18.4,15,0.6,10.8,Low
LPIS-61604010252_3A,Winter Wheat,4.989999771118164,0.795,0.613,,12.8,15,0.71,12.4,Low
LPIS-61723946594_34A,Winter Wheat,4.980000019073486,0.798,0.583,,10.1,15,0.71,12.4,Low
LPIS-61574003841_1A,Spring Wheat,4.980000019073486,0.839,0.659,,16.6,15,0.53,29.6,Low
LPIS-61513969880_13A,Winter Wheat,4.980000019073486,0.871,0.675,,13,15,0.77,29.4,Low
LPIS-61473954816_6A,Winter Wheat,4.980000019073486,0.623,0.421,,9.1,15,0.67,8.4,Low
LPIS-61504018855_35A,Spring Barley,4.980000019073486,0.537,0.365,,23.2,15,0.59,9.9,Low
LPIS-61473944262_5A,Spring Barley,4.980000019073486,0.622,0.399,,19.2,15,0.59,9,Low
LPIS-61614012676_2A,Winter Wheat,4.96999979019165,0.822,0.633,,13.7,15,0.58,18.5,Low
LPIS-61584041344_35B,Winter Wheat,4.96999979019165,0.79,0.592,,12.1,15,0.63,11.1,Low
LPIS-61684032827_13A,Unknown,4.960000038146973,0.561,0.365,,23.3,40,0.56,18.5,Low
LPIS-61534079407_2A,Fallow,4.960000038146973,0.676,0.489,,21,40,0.53,19.2,Low
LPIS-61823989256_102A,Unknown,4.960000038146973,0.646,0.416,,25.1,40,0.65,18.6,Low
LPIS-61623971094_33A,Ley / Grass,4.960000038146973,0.673,0.418,,20.1,40,0.59,17.9,Low
LPIS-61433988722_75A,Winter Wheat,4.949999809265137,0.669,0.508,,13.8,15,0.75,9.9,Low
LPIS-61593995781_2B,Unknown,4.949999809265137,0.765,0.5,,6.3,15,0.88,24.6,Low
LPIS-61493983582_2D,Spring Barley,4.940000057220459,0.519,0.354,,30.8,15,0.65,10.7,Low
LPIS-61713983513_11A,Peas,4.940000057220459,0.698,0.416,,14.7,15,0.53,8,Low
LPIS-61504024701_19A,Maize,4.929999828338623,0.406,0.282,,59.3,15,0.76,13.7,Low
LPIS-61723999746_11A,Spring Wheat,4.909999847412109,0.676,0.512,,19.2,15,0.42,10.4,Low
LPIS-61604013128_2A,Winter Wheat,4.900000095367432,0.846,0.665,,6.9,15,0.8,23.5,Low
LPIS-61674037027_18A,Unknown,4.900000095367432,0.661,0.424,,12.2,40,0.62,17.3,Low
LPIS-61614046160_29A,Ley / Grass,4.900000095367432,0.372,0.255,,59.7,15,0.81,13.6,Low
LPIS-61674018639_6A,Ley / Grass,4.889999866485596,0.753,0.501,,9.6,70,0.79,36.2,Moderate
LPIS-61533978767_13A,Spring Barley,4.889999866485596,0.897,0.712,,5.6,15,0.86,33.4,Moderate
LPIS-61554008701_102A,Rapeseed,4.880000114440918,0.743,0.602,,11,15,0.65,10.2,Low
LPIS-61654013519_2A,Ley / Grass,4.880000114440918,0.727,0.472,,17.8,70,0.51,31.8,Moderate
LPIS-61604064689_51A,Spring Barley,4.880000114440918,0.853,0.677,,12.8,40,0.58,34.5,Moderate
LPIS-61574025850_52A,Sugar Beet,4.880000114440918,0.781,0.54,,9.8,15,0.57,8.7,Low
LPIS-61463997389_41A,Winter Wheat,4.880000114440918,0.664,0.519,,18.2,15,0.39,10.6,Low
LPIS-61533996505_18B,Winter Wheat,4.880000114440918,0.871,0.68,,13.1,15,0.76,29.6,Low
LPIS-61753900286_133A,Ley / Grass,4.880000114440918,0.72,0.474,,10.7,40,0.84,19.1,Low
LPIS-61583971510_203C,Spring Barley,4.869999885559082,0.788,0.529,,16.7,15,0.54,11.4,Low
LPIS-61554014872_12D,Unknown,4.860000133514404,0.858,0.627,,4.7,15,0.85,44.8,Moderate
LPIS-61504018855_35B,Spring Barley,4.860000133514404,0.784,0.57,,23.4,15,0.65,12,Low
LPIS-61614007108_12A,Rapeseed,4.860000133514404,0.661,0.452,,12.5,15,0.46,8.9,Low
LPIS-61604011563_1A,Ley / Grass,4.860000133514404,0.646,0.395,,9.9,15,0.78,7.7,Low
LPIS-61554067090_160A,Spring Barley,4.860000133514404,0.67,0.45,,8.1,15,0.6,8.3,Low
LPIS-61524040593_22A,Winter Wheat,4.860000133514404,0.685,0.524,,24,40,0.64,20,Low
LPIS-61683983772_10A,Winter Wheat,4.849999904632568,0.867,0.665,,10.1,40,0.74,37.3,Moderate
LPIS-61664023823_11A,Ley / Grass,4.849999904632568,0.716,0.465,,11.5,70,0.67,29.2,Low
LPIS-61463972050_8A,Unknown,4.849999904632568,0.68,0.451,,14.1,15,0.7,8.8,Low
LPIS-61584050069_189A,Ley / Grass,4.849999904632568,0.792,0.623,,16,40,0.55,34.8,Moderate
LPIS-61783965708_196A,Ley / Grass,4.840000152587891,0.609,0.363,,13.1,40,0.7,16.9,Low
LPIS-61723992813_13A,Ley / Grass,4.840000152587891,0.627,0.426,,12.8,15,0.57,8.8,Low
LPIS-61574069424_1A,Unknown,4.829999923706055,0.659,0.449,,36.9,15,0.61,11.3,Low
LPIS-61624009619_2A,Ley / Grass,4.829999923706055,0.69,0.459,,12.2,40,0.49,17.6,Low
LPIS-61683953043_47A,Ley / Grass,4.829999923706055,0.644,0.424,,14.9,15,0.3,8.8,Low
LPIS-61523967644_11A,Ley / Grass,4.820000171661377,0.818,0.546,,6.4,15,0.76,28.2,Low
LPIS-61613974066_8A,Maize,4.820000171661377,0.837,0.583,,10.2,40,0.64,35.7,Moderate
LPIS-61653992179_54A,Ley / Grass,4.809999942779541,0.728,0.488,,12.2,40,0.52,20.9,Low
LPIS-61624008609_201A,Ley / Grass,4.809999942779541,0.833,0.641,,16.7,15,0.53,33.2,Moderate
LPIS-61474012813_5A,Rye,4.809999942779541,0.749,0.552,,16.7,15,0.44,13.9,Low
LPIS-61653955636_3A,Ley / Grass,4.800000190734863,0.797,0.558,,18.8,70,0.52,45.7,Moderate
